IP address,DNS Packet Length,Response Status,Time
18.188.171.103,77,No Error,1525185285.6020565
18.188.1.190,66,Server Failure,1525185285.6082823
18.188.1.199,293,No Error,1525185285.6244347
18.188.15.253,66,Refused,1525185285.7484572
18.188.7.141,82,No Error,1525185285.7664633
18.188.17.5,66,Refused,1525185285.773082
18.188.7.248,82,No Error,1525185285.7810442
18.188.12.176,82,No Error,1525185285.8649247
18.188.21.252,66,Refused,1525185285.87328
18.188.23.195,66,Refused,1525185285.9067976
18.188.12.63,82,No Error,1525185285.9073646
18.188.29.77,66,Refused,1525185286.0251966
18.188.29.213,66,Refused,1525185286.0447025
18.188.31.55,66,Refused,1525185286.0626342
18.188.26.52,66,Server Failure,1525185286.151326
18.188.34.239,66,Refused,1525185286.156683
18.188.36.98,66,Refused,1525185286.1801198
18.188.88.243,77,No Error,1525185286.2542768
18.188.34.166,82,No Error,1525185286.2903545
18.188.44.108,66,Refused,1525185286.352859
18.188.49.30,66,Refused,1525185286.4561343
18.188.53.149,66,Refused,1525185286.5473819
18.188.54.45,66,Refused,1525185286.5642
18.188.47.74,66,Refused,1525185286.5672214
18.188.56.205,66,Refused,1525185286.6180434
18.188.57.45,66,Refused,1525185286.635911
18.188.57.130,66,Refused,1525185286.6423357
18.188.50.219,82,No Error,1525185286.6932113
18.188.60.152,66,Refused,1525185286.713423
18.188.67.26,66,Refused,1525185286.8472574
18.188.70.212,66,Refused,1525185286.922325
18.188.71.174,66,Refused,1525185286.9519377
18.188.75.183,82,No Error,1525185287.0266948
18.188.77.126,66,Refused,1525185287.0695243
18.188.77.136,82,No Error,1525185287.0753827
18.188.86.192,66,Refused,1525185287.2581978
18.188.77.154,82,No Error,1525185287.273247
18.188.90.190,66,Refused,1525185287.3513505
18.188.93.141,66,Refused,1525185287.403346
18.188.95.17,66,Refused,1525185287.4465582
18.188.95.102,66,Refused,1525185287.4500606
18.188.95.220,66,Refused,1525185287.466227
18.188.97.176,66,Refused,1525185287.4983466
18.188.108.21,66,Refused,1525185287.7388217
18.188.108.23,82,No Error,1525185287.7400105
18.188.108.214,66,Refused,1525185287.7432754
18.188.109.156,82,No Error,1525185287.7880206
18.188.111.73,66,Refused,1525185287.7966716
18.188.112.171,66,Refused,1525185287.822239
18.188.112.117,66,Refused,1525185287.8390872
18.188.113.137,66,Refused,1525185287.8470788
18.188.113.196,66,Refused,1525185287.8503478
18.188.114.239,66,Refused,1525185287.8740246
18.188.117.235,66,Refused,1525185287.9433568
18.188.118.59,82,No Error,1525185287.9483736
18.188.119.221,66,Refused,1525185287.9830832
18.188.113.233,130,No Error,1525185288.0043151
18.188.120.229,12,Refused,1525185288.0104728
18.188.120.210,66,Refused,1525185288.0158799
18.188.127.148,66,Refused,1525185288.1499286
18.188.130.83,66,Refused,1525185288.1986957
18.188.123.234,82,No Error,1525185288.2332504
18.188.125.185,66,Server Failure,1525185288.2493472
18.188.136.113,66,Refused,1525185288.345572
18.188.136.111,66,Refused,1525185288.3511386
18.188.138.104,66,Refused,1525185288.3911
18.188.146.151,82,No Error,1525185288.5668838
18.188.146.91,66,Refused,1525185288.567934
18.188.152.155,66,Refused,1525185288.7019956
18.188.153.89,66,Refused,1525185288.7071068
18.188.154.156,82,No Error,1525185288.7405558
18.188.157.87,66,Refused,1525185288.7988136
18.188.160.143,82,No Error,1525185288.8881207
18.188.161.159,66,Refused,1525185288.8911128
18.188.33.240,77,No Error,1525185288.986474
18.188.170.17,66,Refused,1525185289.065205
18.188.169.101,82,No Error,1525185289.082175
18.188.175.26,66,Refused,1525185289.1839495
18.188.176.54,66,Refused,1525185289.200976
18.188.183.76,82,No Error,1525185289.3627663
18.188.189.138,66,Server Failure,1525185289.4846861
18.188.189.95,82,No Error,1525185289.4906018
18.188.147.211,77,No Error,1525185289.535421
18.188.186.116,82,No Error,1525185289.5521984
18.188.194.163,66,Refused,1525185289.593201
18.188.194.242,82,No Error,1525185289.5992873
18.188.195.138,66,Refused,1525185289.617279
18.188.196.159,66,Refused,1525185289.6291988
18.188.198.19,66,Refused,1525185289.6735508
18.188.198.232,66,Refused,1525185289.694368
18.188.201.194,66,Refused,1525185289.7462685
18.188.203.51,66,Refused,1525185289.7921135
18.188.202.224,66,Refused,1525185289.7935452
18.188.197.59,66,Refused,1525185289.8049352
18.188.198.109,66,Refused,1525185289.8306432
18.188.206.8,82,No Error,1525185289.842301
18.188.206.201,66,Refused,1525185289.8656032
18.188.206.135,66,Refused,1525185289.8894968
18.188.208.152,66,Refused,1525185289.897182
18.188.204.250,82,No Error,1525185289.9690754
18.188.216.168,66,Refused,1525185290.072979
18.188.217.71,66,Refused,1525185290.1166
18.188.222.35,66,Refused,1525185290.1856406
18.188.226.188,66,Refused,1525185290.291839
18.188.228.77,66,Refused,1525185290.3184307
18.188.214.174,82,No Error,1525185290.4071853
18.188.236.82,66,Server Failure,1525185290.497636
18.188.229.190,66,Refused,1525185290.5039573
18.188.238.101,66,Refused,1525185290.5455627
18.188.254.238,66,Refused,1525185290.9020395
18.188.203.183,66,Server Failure,1525185291.4169943
18.188.20.16,66,Server Failure,1525185294.2522004
18.188.46.209,66,Server Failure,1525185294.4319382
18.188.52.81,66,Server Failure,1525185294.8876412
18.188.88.217,66,Server Failure,1525185295.0225873
18.188.108.131,66,Server Failure,1525185295.6215355
18.188.156.253,66,Server Failure,1525185297.6260424
18.191.1.211,66,Refused,1525185299.7455442
18.191.2.211,66,Refused,1525185299.757678
18.191.3.95,82,No Error,1525185299.7711678
18.191.3.205,66,Refused,1525185299.7791288
18.191.8.121,82,No Error,1525185299.886351
18.191.14.59,66,Refused,1525185299.9172263
18.191.3.168,66,Server Failure,1525185299.928585
18.191.7.30,66,Refused,1525185299.9870293
18.191.26.86,66,Refused,1525185300.0185566
18.191.29.219,66,Refused,1525185300.049182
18.191.30.172,66,Refused,1525185300.0563915
18.191.21.178,66,Refused,1525185300.1321936
18.188.216.152,66,Server Failure,1525185301.5085762
18.194.0.163,66,Refused,1525185310.1121607
18.194.2.165,82,No Error,1525185310.15953
18.194.5.151,66,Refused,1525185310.196574
18.194.6.122,66,Refused,1525185310.2024112
18.194.8.199,66,Refused,1525185310.2412753
18.194.8.102,66,Refused,1525185310.2467885
18.194.12.115,66,Refused,1525185310.2937043
18.194.12.84,66,Refused,1525185310.2994456
18.194.13.136,66,Refused,1525185310.310967
18.194.12.188,82,No Error,1525185310.320607
18.194.13.234,66,Refused,1525185310.340243
18.194.15.248,66,Refused,1525185310.3511634
18.194.21.33,66,Refused,1525185310.4599993
18.194.23.214,66,Refused,1525185310.4944363
18.194.29.181,66,Refused,1525185310.5284123
18.194.33.28,66,Refused,1525185310.5442185
18.194.32.177,66,Refused,1525185310.550336
18.194.34.171,66,Refused,1525185310.5643175
18.194.51.211,66,Refused,1525185310.7135127
18.194.51.113,66,Refused,1525185310.7187538
18.194.52.212,66,Refused,1525185310.7275515
18.194.54.162,82,No Error,1525185310.7345245
18.194.58.45,66,Refused,1525185310.7521694
18.194.55.211,66,Refused,1525185310.7572322
18.194.59.12,12,Refused,1525185310.7601395
18.194.61.236,66,Refused,1525185310.787217
18.194.69.8,66,Refused,1525185310.8512297
18.194.69.59,66,Refused,1525185310.881278
18.194.72.2,66,Refused,1525185310.884224
18.194.74.54,82,No Error,1525185310.9031866
18.194.72.116,66,Refused,1525185310.9187799
18.194.84.58,66,Refused,1525185310.9843338
18.194.97.125,82,No Error,1525185311.101079
18.194.92.122,66,Refused,1525185311.1153238
18.194.103.129,66,Refused,1525185311.1390858
18.194.104.181,82,No Error,1525185311.1725523
18.194.111.174,66,Refused,1525185311.2027807
18.194.112.190,66,Refused,1525185311.2424576
18.194.118.63,66,Refused,1525185311.2721734
18.194.124.29,66,Refused,1525185311.3056238
18.194.127.18,66,Refused,1525185311.3458846
18.194.128.196,66,Refused,1525185311.3486555
18.194.128.255,66,Refused,1525185311.3523252
18.194.130.15,66,Refused,1525185311.3561196
18.194.128.79,82,No Error,1525185311.3599603
18.194.126.50,66,Refused,1525185311.365264
18.194.129.106,82,No Error,1525185311.3679533
18.194.132.99,66,Server Failure,1525185311.3769526
18.194.136.203,66,Refused,1525185311.4219213
18.194.136.26,66,Refused,1525185311.424203
18.194.47.5,82,No Error,1525185311.431198
18.194.135.122,82,No Error,1525185311.4323907
18.194.136.48,82,No Error,1525185311.4504273
18.194.141.127,82,No Error,1525185311.4599922
18.194.140.213,66,Refused,1525185311.4771073
18.194.15.61,82,No Error,1525185311.4894998
18.194.145.99,66,Refused,1525185311.507304
18.194.144.120,82,No Error,1525185311.5130517
18.194.146.231,66,Refused,1525185311.5220363
18.194.36.113,82,No Error,1525185311.5450459
18.194.148.69,66,Refused,1525185311.5506558
18.194.151.186,66,Refused,1525185311.5973978
18.194.164.125,66,Refused,1525185311.7266624
18.194.165.169,66,Refused,1525185311.743267
18.194.168.152,66,Refused,1525185311.7615452
18.194.169.42,66,Refused,1525185311.7673843
18.194.169.185,66,Refused,1525185311.7753477
18.194.171.41,66,Refused,1525185311.7840188
18.194.171.171,66,Refused,1525185311.7855132
18.194.173.83,66,Refused,1525185311.7943938
18.194.40.60,293,No Error,1525185311.8199968
18.194.177.213,66,Refused,1525185311.8321843
18.194.177.238,66,Refused,1525185311.835164
18.194.180.82,66,Refused,1525185311.8594136
18.194.176.211,66,Refused,1525185311.8670654
18.194.180.15,66,Refused,1525185311.87766
18.194.180.196,66,Refused,1525185311.8855848
18.194.182.35,82,No Error,1525185311.8890872
18.194.181.232,66,Refused,1525185311.8896537
18.194.181.29,66,Refused,1525185311.8900285
18.194.185.21,66,Refused,1525185311.9317603
18.194.187.53,66,Refused,1525185311.9495237
18.194.188.119,66,Refused,1525185311.9626296
18.194.187.245,66,Refused,1525185311.967246
